Date,Weekday,Views,Reads,Fans
2019-04-16,Tuesday,0,0,0
2019-04-17,Wednesday,0,0,0
2019-04-18,Thursday,0,0,0
2019-04-19,Friday,0,0,0
2019-04-20,Saturday,0,0,0
2019-04-21,Sunday,0,0,0
2019-04-22,Monday,0,0,0
2019-04-23,Tuesday,0,0,0
2019-04-24,Wednesday,0,0,0
2019-04-25,Thursday,0,0,0
2019-04-26,Friday,0,1,0
2019-04-27,Saturday,5,2,0
2019-04-28,Sunday,1,1,0
2019-04-29,Monday,3,2,0
2019-04-30,Tuesday,0,0,0
2019-05-01,Wednesday,29,7,0
2019-05-02,Thursday,130,15,6
2019-05-03,Friday,46,10,1
2019-05-04,Saturday,11,1,0
2019-05-05,Sunday,17,7,1
2019-05-06,Monday,22,8,1
2019-05-07,Tuesday,19,8,1
2019-05-08,Wednesday,17,4,0
2019-05-09,Thursday,15,4,0
2019-05-10,Friday,7,2,0
2019-05-11,Saturday,6,1,0
2019-05-12,Sunday,4,2,0
2019-05-13,Monday,6,1,0
2019-05-14,Tuesday,25,11,9
2019-05-15,Wednesday,12,7,0
2019-05-16,Thursday,21,9,2
2019-05-17,Friday,16,8,2
2019-05-18,Saturday,5,1,0
2019-05-19,Sunday,12,2,1
2019-05-20,Monday,6,1,1
2019-05-21,Tuesday,29,12,0
2019-05-22,Wednesday,10,3,0
2019-05-23,Thursday,2,1,0
2019-05-24,Friday,5,3,0
2019-05-25,Saturday,17,8,1
2019-05-26,Sunday,4,0,0
2019-05-27,Monday,5,3,0
2019-05-28,Tuesday,6,3,0
2019-05-29,Wednesday,3,2,0
2019-05-30,Thursday,14,11,1
2019-05-31,Friday,3,2,0
2019-06-01,Saturday,2,1,0
2019-06-02,Sunday,2,1,0
2019-06-03,Monday,5,2,0
2019-06-04,Tuesday,10,2,0
2019-06-05,Wednesday,21,4,1
2019-06-06,Thursday,5,2,1
2019-06-07,Friday,4,1,1
2019-06-08,Saturday,4,1,0
2019-06-09,Sunday,2,0,1
2019-06-10,Monday,9,0,0
2019-06-11,Tuesday,5,2,0
2019-06-12,Wednesday,3,0,0
2019-06-13,Thursday,7,5,1
2019-06-14,Friday,1,1,0
